,Fire_Year,GIS_Acres,Shape_Area,shortest_dist,fire_intensity,scaled_overlap_component,smoke_estimate
0,1963,691.8340841099657,2799753.2065156368,886.5663662790698,3348336.4512446737,1.6917091710728263e-05,7.409755489014682
1,1964,943.0327263181666,3816318.0450340547,942.6356373937678,3880451.7838240736,2.3176186613138126e-05,9.473444545191878
2,1965,686.5029168873343,2778178.7382018426,983.856357827476,2800564.843823536,0.0007080089412204501,6.4152118274074015
3,1966,1470.8302137229914,5952238.696664852,916.784617414248,6370381.56411518,2.6023858186645372e-05,8.631456184536034
4,1967,779.6125198346928,3154979.932876474,978.2864603960395,3161820.972420697,0.0011615230686381362,6.593156925304841
5,1968,676.7231327004074,2738601.3557552914,996.5627900552486,2764658.9018198554,0.00015809020680675076,8.650442328903003
6,1969,510.3621250274874,2065362.243417199,980.1135640138408,2104951.155857199,0.0001354240790542375,7.775776374173888
7,1970,1015.2451691570205,4108551.4331136635,941.3898854961832,4201759.521078606,6.800278373688418e-05,9.188843207565718
8,1971,1392.3198896269369,5634518.68737203,879.7549631449632,6630058.193080961,8.471434065624429e-05,10.242203829232826
9,1972,747.814786622123,3026299.072007424,957.9265268065268,3313837.159627539,2.4918669148761385e-05,9.040092677972618
10,1973,1341.2714567268122,5427933.008836704,935.7744323144104,6140454.2938275095,0.00017532610090234898,10.070831728231306
11,1974,647.6450431717445,2620926.5023951,972.9876288659794,2659322.745461613,0.00011144109074901561,8.558115085852231
12,1975,624.2668556806348,2526318.3342026304,959.911515837104,2594773.2661560355,0.00014689470911821855,8.770256301241643
13,1976,809.0718974133147,3274197.804230427,925.8659930915372,3329658.2224662285,1.505761537193268e-05,7.351727410641395
14,1977,736.204789482002,2979315.08051688,991.5544578313253,3086603.605452203,1.9638849500858974e-05,7.718897706774714
15,1978,216.77227789988126,877246.2850174122,1001.5182251908398,890187.5366181203,3.391932637846633e-05,8.018803236098798
16,1979,956.3899219786118,3870372.6980777807,996.7872957746479,4121898.82815625,8.225736201068305e-05,10.593363838839329
17,1980,756.9651521025207,3063329.287319079,979.893572216097,3070689.125666467,7.102667575413374e-05,9.61827854453652
18,1981,1237.9025798105467,5009614.005411839,962.1895468914647,5053549.209537452,0.00010771555928425161,10.184407038923295
19,1982,495.73147805944285,2006154.1157707013,970.8254735152489,2008275.4534443987,0.00013219336257473463,9.410505784911411
20,1983,1127.7102719503687,4563681.556648801,940.3401778907242,4574113.183613361,0.00023754527885696403,10.112897738323984
21,1984,1239.1485160315144,5014656.130409563,954.4199014778325,5053447.5782501595,0.0001219768327723784,10.091184883310717
22,1985,1678.4271719295389,6792353.780253723,924.5346001467351,6845080.293782522,0.00017576124704146503,11.05764388369136
23,1986,1131.2506301718086,4578008.878054831,950.1327835820895,4595713.647001259,0.00013364122262212355,9.895962562629496
24,1987,1625.4664242957863,6578029.238556966,904.1937378114842,6711990.00906995,0.0002475827036685109,10.480642558491367
25,1988,2473.777078435024,10011020.657450687,876.3117367788461,11114538.493774785,0.00020144350072634845,10.657914140283781
26,1989,1004.417561467016,4064733.659394141,934.6563177159591,4071064.002257456,0.0004098761249653202,10.30974536746288
27,1990,1056.1796670523008,4274207.468818897,963.7693487574979,4302382.35968955,0.00011948004095711559,9.049541573567046
28,1991,1290.7787029245358,5223596.0838273,920.1927748691098,5234443.349766762,0.00024122866778018118,9.64303017069209
29,1992,1255.6663154794185,5081501.29318923,928.068210806023,5194789.090996346,0.00013774296854183253,9.04554870379612
30,1993,1054.223850858607,4266292.561494413,1007.8859146341463,4287672.607126495,0.00019931101892968424,10.174825723428233
31,1994,2052.269057071919,8305238.214104289,898.1728185812932,8369862.481538794,0.00037258284159571433,11.739397862022905
32,1995,1110.8475694455788,4495440.6207182715,927.602464678179,4528644.76834545,0.00024321718917592292,10.362040264022509
33,1996,3142.9348124583353,12719005.930981554,892.8927447335811,12920928.465433387,0.00028481360728229956,12.33777852848044
34,1997,674.5720336192244,2729896.1666233875,961.0385825027685,2755035.6483611143,0.00018803179537826503,10.103605626867571
35,1998,1071.4533208851901,4336017.7529260395,904.98936121673,4341974.823826272,0.0005242831693495563,10.920190307352048
36,1999,2290.036538099759,9267449.071739674,925.3944186046512,9472189.020418637,0.00020286681209945185,11.318857262241432
37,2000,2635.1906571211553,10664238.235019224,803.6621946082561,10824556.908728886,0.0002523988813995823,11.654269525836234
38,2001,1429.2803449122255,5784092.343218127,916.0179850746268,5884865.597569312,0.00026479874550405916,10.922039314290421
39,2002,2361.3961754579204,9556231.278482683,883.9276663146779,9989686.340560718,0.0014648403798901762,11.528383645819135
40,2003,1676.7461710108307,6785551.010889789,859.7820734542073,6965218.160152802,0.0010796516604111618,11.542973067180004
41,2004,947.0557347851861,3832598.582686182,920.2825045482111,3902565.5807710504,0.00042649957955223725,11.475419933296541
42,2005,1974.9690897345433,7992416.34483372,914.3061379018612,8127716.611442993,0.00034357458570790825,12.371238182647753
43,2006,2431.564651512298,9840193.026453363,868.9104902557856,10060283.068024667,0.0002558439896786047,12.551555555744086
44,2007,2390.4786602849836,9673923.918984435,869.2372651490862,10051289.466999775,0.0006440176544143599,12.463145314371866
45,2008,1499.2692212349002,6067327.276861103,902.7994967880086,6443862.379231251,0.00032163128425756715,12.625039758427688
46,2009,1616.366988590816,6541205.128734092,890.563682443773,6637820.171243522,0.0005477274692227456,12.31837796019284
47,2010,935.6838458254296,3786578.1808145717,870.8505500512471,3827431.466163817,0.00048253189602267665,12.344824003332795
48,2011,2036.2001748727093,8240209.754975627,923.396632716691,8386608.580051069,0.0008891094935912765,11.47529575468192
49,2012,2714.0645902759406,10983429.717966616,826.7395283842794,11569106.009436266,0.0007489002140303218,12.641902066028186
50,2013,1347.720267718743,5454030.421016242,891.5556691729323,5648929.599617749,0.0006495124263218371,12.427701263546766
51,2014,1792.8222064263991,7255294.060298013,865.3270149253732,7346219.855191132,0.0010538498522412551,13.158079315856886
52,2015,1945.9477542284194,7874971.166854137,820.6941470223326,8108351.598254415,0.0016771864293360533,13.303617896172916
53,2016,1688.4272116199766,6832822.505099227,829.0517553468962,6924337.003691715,0.0014894588211338206,13.19331002425178
54,2017,2494.8109701860308,10096141.797371313,831.1284262295081,10359871.934058093,0.0005380555619643875,12.81189054528222
55,2018,2292.4312405203345,9277140.088610116,842.1915627508697,9719146.914752306,0.00096479404723365,12.88138663893973
56,2019,793.0848054695092,3209500.3385221385,865.4794738530638,3297554.208839773,0.0003436613035997515,11.554043417740798
57,2020,2083.377696441813,8431130.41113047,817.5443455865137,9693807.983164977,0.0001781151708409082,8.339470247598388
